Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Capacity
Aquarium Pyramid,-94.85420043,29.27236148,2,1,56.0,restaurant,3.5,,,750.0,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High,indoor,Truck,,-1
Schlitterbahn Waterpark Galveston,-94.8517369,29.2703671,8,6,4957.0,amusement_park,4.3,,,5500.0,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med,indoor,Truck,,-6
Sapori,-94.8412938,29.2592634,1,1,365.0,restaurant,4.5,0.0,0.0,93.75,"7611 Stewart Road, Galveston",POINT (-94.8412938 29.2592634),Curious,High,Yes,Low,indoor,Truck,,-1
Golden Corral Buffet & Grill,-94.8282526,29.2660613,1,1,4686.0,restaurant,4.2,280.0,40.0,280.0,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),Skeptical,Med,No,Low,indoor,Truck,,-1
Tortuga Mexican Kitchen,-94.82559204,29.26748848,1,1,486.0,restaurant,3.0,20.0,10.0,20.0,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low,indoor,Truck,,-1
Landry's Prime Seafood & Steaks,-94.82023169,29.2707352,1,1,637.0,restaurant,3.5,,,93.75,"5310 Seawall Blvd Galveston, TX 77551",POINT (-94.8202316880881 29.270735202849),Skeptical,Med,No,High,indoor,Truck,,-1
Rainforest Cafe,-94.82020721,29.27075307,1,1,485.0,restaurant,3.0,350.0,50.0,350.0,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High,indoor,Truck,,-1
H2O Pool + Bar,-94.817417,29.2723853,11,8,33.0,restaurant,3.5,7500.0,500.0,7500.0,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",POINT (-94.817417 29.2723853),Skeptical,Med,No,High,indoor,Truck,,-8
B. Jiggers Lounge,-94.8166683,29.2725013,1,1,17.0,restaurant,2.5,560.0,80.0,560.0,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High,indoor,Truck,,-1
Jetty,-94.81661,29.27279,1,1,30.0,restaurant,2.5,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High,indoor,Truck,,-1
Salsas,-94.811817,29.275546,1,1,5484.0,restaurant,4.3,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low,indoor,Truck,,-1
Mr Taco & Limon Paradise,-94.8072763,29.2777842,2,1,129.0,restaurant,4.1,350.0,50.0,350.0,"4112 Seawall Boulevard, Galveston",POINT (-94.8072763 29.2777842),Curious,Med,No,Med,indoor,Truck,,-1
Gaido's,-94.8045,29.2796255,1,1,5568.0,restaurant,4.4,140.0,0.0,140.0,"3828 Seawall Boulevard, Galveston",POINT (-94.8045 29.2796255),Curious,High,Yes,High,indoor,Truck,,-1
Redfish Pool Bar,-94.8037861,29.2798569,1,1,7.0,bar,2.9,,,140.625,"3788 Seawall Boulevard, Galveston",POINT (-94.8037861 29.2798569),Skeptical,Med,No,High,indoor,Truck,,-1
The Gumbo Diner,-94.8018983,29.2811811,1,1,3842.0,restaurant,4.4,350.0,50.0,350.0,"3602 Seawall Boulevard, Galveston",POINT (-94.8018983 29.2811811),Skeptical,Med,No,High,indoor,Truck,,-1
Joe's Crab Shack,-94.8014962,29.2815703,1,1,4371.0,restaurant,3.8,245.0,35.0,245.0,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.2815703),Skeptical,Med,No,High,indoor,Truck,,-1
Drip,-94.7981973,29.2836623,1,1,2.0,bar,5.0,1500.0,150.0,1500.0,"3204 Seawall Boulevard, Galveston",POINT (-94.7981973 29.2836623),Skeptical,Med,No,High,indoor,Truck,,-1
Under the Bun,-94.7981611,29.2836927,1,1,6.0,restaurant,4.8,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High,indoor,Truck,,-1
Squeeze,-94.7980425,29.2837569,1,1,35.0,bar,3.5,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High,indoor,Truck,,-1
SideYard,-94.7980166,29.2837156,1,1,106.0,bar,4.2,,,140.625,"3204 Seawall Boulevard Suite D, Galveston",POINT (-94.7980166 29.2837156),Skeptical,Med,No,High,indoor,Truck,,-1
The Spot,-94.7980051,29.2836047,1,1,12914.0,bar,4.3,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,indoor,Truck,,-1
Tiki Bar,-94.7979736,29.2836062,2,2,142.0,bar,4.3,,,1125.0,"3204 Seawall Boulevard Suite B, Galveston",POINT (-94.7979736 29.2836062),Skeptical,Med,No,High,indoor,Truck,,-2
Rum Shack,-94.7979948,29.2835904,1,1,221.0,bar,4.3,,,140.625,"3204 Seawall Boulevard Suite E, Galveston",POINT (-94.7979948 29.2835904),Skeptical,Med,No,High,indoor,Truck,,-1
Seawall Bar,-94.8086836,29.2769262,2,1,7.0,bar,4.9,0.0,0.0,750.0,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low,indoor,Truck,,-1
Papa's Pizza,-94.80952,29.2765,5,4,475.0,restaurant,4.0,3000.0,500.0,3000.0,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,indoor,Truck,,-4
KritiKos Olympia Grill,-94.8157266,29.2734391,1,1,379.0,restaurant,4.3,105.0,15.0,105.0,"4908 Seawall Boulevard suite B, Galveston",POINT (-94.8157266 29.2734391),Curious,Med,No,Low,indoor,Truck,,-1
Blake's Bistro (under San Luis),-94.81829196,29.27254012,1,1,70.0,restaurant,4.0,0.0,0.0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High,indoor,Truck,,-1
The Cove,-94.8183102,29.2725491,1,1,46.0,bar,4.2,0.0,0.0,140.625,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),Skeptical,Med,No,High,indoor,Truck,,-1
Grotto (under San Luis),-94.818427,29.272606,1,1,136.0,restaurant,4.5,0.0,0.0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High,indoor,Truck,,-1
Dolphin World Inc No 2,-94.85317,29.25173,1,1,5.0,restaurant,2.0,210.0,30.0,210.0,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,indoor,Truck,,-1
Jimmy's Curbside Restaurant and Grocery,-94.8531793,29.2506985,2,1,8.0,restaurant,4.5,,,750.0,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,indoor,Truck,,-1
SEA BEAN Coffee Cafe,-94.8532271,29.2506218,2,1,7.0,cafe,4.5,,,750.0,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,indoor,Truck,,-1
Seahorse Grill,-94.86803806,29.24448719,1,1,237.0,restaurant,4.5,105.0,15.0,105.0,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,Truck,,-1
Seawall Coffee Company,-94.86782336,29.24463873,2,1,47.0,restaurant,4.5,1050.0,350.0,1050.0,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,indoor,Truck,,-1
Cooper's Landing,-94.8780445,29.2407199,1,1,219.0,restaurant,4.3,700.0,280.0,700.0,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low,indoor,Truck,,-1
Mario's Pizza,-94.9373606,29.2082758,1,1,219.0,restaurant,3.5,0.0,0.0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,indoor,Truck,,-1
Hummel's General Store & Deli,-94.9374899,29.20822,2,1,22.0,convenience store,4.5,700.0,100.0,700.0,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,indoor,Truck,,-1
The West End Marina and Restaurants,-95.0470457,29.1449947,1,1,803.0,bar,4.1,300.0,150.0,300.0,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med,indoor,Truck,,-1
The Sandbar Grille,-95.0470522,29.1449775,1,1,292.0,bar,4.0,2000.0,1400.0,2000.0,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,indoor,Truck,,-1
Galveston Food Truck Park,-95.0404814,29.1415146,1,1,6.0,food,5.0,,,0.0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,indoor,Truck,,-1
Nate's Westend Seafood & Steaks,-94.9850694,29.1752194,1,1,1470.0,restaurant,4.0,,,93.75,"17515 Termini-San Luis Pass Road, Galveston",POINT (-94.9850694 29.1752194),Skeptical,Med,No,Low,indoor,Truck,,-1
Waterman's Restaurant,-94.94924164,29.2073822,1,1,350.0,restaurant,3.0,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med,indoor,Truck,,-1
Sugar Bean,-94.8704183,29.2610286,1,1,476.0,cafe,4.7,200.0,50.0,200.0,"11 Evia Main, Galveston",POINT (-94.8704183 29.2610286),Curious,High,No,High,indoor,Truck,,-1
Lil’ Buffalo Grille,-94.8706411,29.2610884,1,1,216.0,restaurant,4.8,350.0,35.0,350.0,"13 Evia Main, Galveston",POINT (-94.8706411 29.2610884),Curious,Med,No,Low,indoor,Truck,,-1
Tin Cup's Caddy Shack,-94.8556317,29.2539288,1,1,197.0,bar,4.6,,,140.625,"9020 Stewart Road, Galveston",POINT (-94.8556317 29.2539288),Skeptical,Med,No,Low,indoor,Truck,,-1
Galveston Primetime,-94.8542107,29.2530127,2,2,1321.0,movie_theater,4.2,4200.0,600.0,4200.0,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,indoor,Truck,,-2
