,Name,place_id,Address,Coordinates,business_status,types
248,Parkwood Apartments,ChIJ6-S8oZ95P4YR_VHEMT79WRM,"1403 N Logan St, Texas City","{'lat': 29.3981761, 'lng': -94.9312521}",OPERATIONAL,"['point_of_interest', 'establishment']"
249,Cedar Drive Apartments,ChIJFS9SgtZ4P4YRMu1sGRG2eXM,"3978-0000-0005-001, La Marque","{'lat': 29.371515, 'lng': -94.96424209999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
250,Mariposa Apartment Homes at Bay Colony,ChIJBUVqkIJ9P4YReMgfPyJJRlU,"1101 Farm to Market 517 Rd W, Dickinson","{'lat': 29.441259, 'lng': -95.1012858}",OPERATIONAL,"['point_of_interest', 'establishment']"
251,LaMans Apartments,ChIJs8_rsKR5P4YRPZxSKPquQYQ,"2102 5th Ave N, Texas City","{'lat': 29.3893738, 'lng': -94.92535559999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
252,Gulfwind Apartments,ChIJ0wQ3ImecP4YRNgBJaMr0lUM,"8020 Stewart Rd, Galveston","{'lat': 29.258242, 'lng': -94.84571199999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
253,Enchanted Oaks Apartments,ChIJXaROtKl_P4YR5CDKwlJeI44,"5825 Delany Rd, Hitchcock","{'lat': 29.3617203, 'lng': -95.0197326}",OPERATIONAL,"['point_of_interest', 'establishment']"
254,Highland Pointe Apartments,ChIJ6Z0dv6l_P4YROAhPwWnMnow,"5809 Delany Rd, Hitchcock","{'lat': 29.3631302, 'lng': -95.01983059999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
255,Stone Ridge Apartments,ChIJlTGfpxV5P4YR2ezb1I6r1h8,"1115 N Hwy 146, Texas City","{'lat': 29.3936319, 'lng': -94.95356439999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
256,71st Apartment,ChIJVVVVVUmcP4YRUV6_uvRLGlA,"1900 Biovu Dr, Galveston","{'lat': 29.2784907, 'lng': -94.8364665}",OPERATIONAL,"['point_of_interest', 'establishment']"
257,Trinity Oaks Apartment Homes,ChIJIZ5f2wx_P4YRhkrWPH5EZ5c,"7440 Hwy 6, Hitchcock","{'lat': 29.3474351, 'lng': -95.0111701}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
258,Morning Star Villas,ChIJaWIdkGx5P4YRbLWQs4E3LOY,"3505 Magnolia Ave., Texas City","{'lat': 29.3980025, 'lng': -94.9499888}",OPERATIONAL,"['point_of_interest', 'establishment']"
259,Driftwood Apartments,ChIJ8aLBh0GcP4YR-9yYNoG6Ew8,"7019 Lasker Dr, Galveston","{'lat': 29.2629887, 'lng': -94.8360101}",OPERATIONAL,"['point_of_interest', 'establishment']"
260,Mainland Apartments,ChIJA7S1JFZ5P4YR2_9ZLJ-XMOI,"624 8th Ave N, Texas City","{'lat': 29.3926024, 'lng': -94.90332459999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
261,Ashton Place Apartments,ChIJA0-H00OcP4YRrTO1NvOSFP0,"3219 69th St, Galveston","{'lat': 29.2655199, 'lng': -94.83648579999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
262,Colonial Square Apartments,ChIJYQQHm0qeP4YR1lTTF7sO2aQ,"402 Postoffice St, Galveston","{'lat': 29.3103784, 'lng': -94.772291}",OPERATIONAL,"['point_of_interest', 'establishment']"
263,The Cambria,ChIJT3Fa2m55P4YR0AkhHSOGzAM,"2020 36th St N, Texas City","{'lat': 29.4041417, 'lng': -94.950273}",OPERATIONAL,"['point_of_interest', 'establishment']"
264,Ferry Road Apartments,ChIJx8qFDy2eP4YRdv59yjW92FE,"810 Ferry Rd, Galveston","{'lat': 29.3236586, 'lng': -94.77115889999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
265,Lakeview Apartments,ChIJXYMUsY1-P4YRBTkffKFITQc,"8801 Emmett F Lowry Expy, Texas City","{'lat': 29.397555, 'lng': -95.010031}",OPERATIONAL,"['point_of_interest', 'establishment']"
266,Driftwood Apartments,ChIJIzEToc95P4YRwNRn0bT_kfk,"2205 9th Ave N, Texas City","{'lat': 29.3929844, 'lng': -94.9268386}",OPERATIONAL,"['point_of_interest', 'establishment']"
267,Villas on the Strand,ChIJ9wTMXz-eP4YRpQtUhAabp4Q,"1524 Ave B, The Strand, Galveston","{'lat': 29.3094916, 'lng': -94.78612470000002}",OPERATIONAL,"['point_of_interest', 'establishment']"
268,William B Travis Apartments,ChIJrW3iPyycP4YR-1_H6sVSICs,"4818 Avenue R 1/2, Galveston","{'lat': 29.2803228, 'lng': -94.8170245}",OPERATIONAL,"['point_of_interest', 'establishment']"
269,Costa Azul Apartments,ChIJR0TZrBN5P4YRhbQ0n3JDbd4,"3404 9th Ave N, Texas City","{'lat': 29.3925064, 'lng': -94.9481023}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
270,Antigua Apartments,ChIJ1eqO7macP4YRgdcEGAJJ0Yc,"8008 Seawall Blvd, Galveston","{'lat': 29.2565281, 'lng': -94.845051}",OPERATIONAL,"['point_of_interest', 'establishment']"
271,Palm Shore Apartments,ChIJJTuGGjOfP4YRWdJJYdhVyu8,"417 Church St, Galveston","{'lat': 29.3085594, 'lng': -94.7721023}",OPERATIONAL,"['point_of_interest', 'establishment']"
272,Seaside Village Apartments,ChIJ25pFtSicP4YRNs2I1pV4r_o,"4925 Fort Crockett Blvd, Galveston","{'lat': 29.27402, 'lng': -94.8160026}",OPERATIONAL,"['point_of_interest', 'establishment']"
273,University Place Apartments,ChIJ_ahFoUmeP4YRLH6zXdJdOso,"711 St Marys Blvd, Galveston","{'lat': 29.3070758, 'lng': -94.7758444}",OPERATIONAL,"['point_of_interest', 'establishment']"
274,Viento Sereno Apartments,ChIJlZA2mB2fQIYRaSSqIHNWIkI,"5510 Avenue M apt #5, Galveston","{'lat': 29.2878693, 'lng': -94.8282868}",OPERATIONAL,"['point_of_interest', 'establishment']"
275,Savan Villas Apartments,ChIJi1K1eZJ-P4YROtvtxfGoBk8,"8601 Emmett F Lowry Expy, Texas City","{'lat': 29.397375, 'lng': -95.0077191}",OPERATIONAL,"['point_of_interest', 'establishment']"
276,Magnolia bend apartment,ChIJYbhqWlt5P4YR8yYzntqYx4s,"2902 Texas Ave, Texas City","{'lat': 29.3840583, 'lng': -94.93830179999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
277,The Oceanfront Galveston Apartments,ChIJbT4ctWecP4YRLCPGQYa3pm0,"7820 Seawall Blvd, Galveston","{'lat': 29.2578194, 'lng': -94.84304039999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
278,Waterfront Apartments Galveston,ChIJx-PUb7WdP4YRg-ovXyJeA-Y,"1400 Bayou Shore Dr, Galveston","{'lat': 29.2862019, 'lng': -94.8323339}",OPERATIONAL,"['point_of_interest', 'establishment']"
279,Delany Court Apartments,ChIJ9yWKiR1_P4YRlj5gqWpOIYQ,"5825 Delany Rd, Hitchcock","{'lat': 29.3616995, 'lng': -95.0197494}",OPERATIONAL,"['point_of_interest', 'establishment']"
280,Santa Fe Plaza Apartments,ChIJSZ2hArGBQIYRsibcPnP2NIg,"12200 11th St # 49, Santa Fe","{'lat': 29.37659, 'lng': -95.0879416}",OPERATIONAL,"['point_of_interest', 'establishment']"
281,Ebbtide Apartments,ChIJgQ0WMjWeP4YRq_iG7NfqMBc,"100 Market St, Galveston","{'lat': 29.3121201, 'lng': -94.7692165}",OPERATIONAL,"['point_of_interest', 'establishment']"
282,Villa Marina Apartments,ChIJ4VrmwjSeP4YRsIYTXh1w6YQ,"210 Harborside Dr, Galveston","{'lat': 29.3144248, 'lng': -94.7711964}",OPERATIONAL,"['point_of_interest', 'establishment']"
283,Mansions at Moses Lake Apartments,ChIJsYiPcYZ5P4YRduJe3vL8wKk,"2211 34th St N, Texas City","{'lat': 29.406054, 'lng': -94.9481907}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
284,Dove Cove Condominiums,ChIJPcRjiZZ-P4YReSJxHdIZ2A8,"1862 Dogwood St, Texas City","{'lat': 29.4007663, 'lng': -95.00097650000001}",OPERATIONAL,"['point_of_interest', 'establishment']"
285,Gatsby Condos,ChIJCZQU-pV-P4YRCSQ6Lb67ZLo,"7600 Emmett F Lowry Expy, Texas City","{'lat': 29.399293, 'lng': -94.99774289999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
286,Harbor East Condominiums,ChIJv4hYtzKeP4YRwD5RgipY-5U,"500 Ferry Rd, Galveston","{'lat': 29.3203292, 'lng': -94.7700423}",OPERATIONAL,"['point_of_interest', 'establishment']"
287,The Palms at Cove View Condominiums,ChIJz24hjpmcP4YR0a6bvm2iSUw,"3506 Cove View Blvd, Galveston","{'lat': 29.2467063, 'lng': -94.8685012}",OPERATIONAL,"['point_of_interest', 'establishment']"
288,Mariner House Condominiums,ChIJR5W0WzWeP4YR4wzriXUqFGU,"215 Postoffice St, Galveston","{'lat': 29.3105544, 'lng': -94.7700576}",OPERATIONAL,"['point_of_interest', 'establishment']"
289,The Dawn Condominium Association,ChIJaXgtA0KcP4YRZdBUcOPsCoM,"7000 Seawall Blvd, Galveston","{'lat': 29.2616766, 'lng': -94.8365809}",OPERATIONAL,"['point_of_interest', 'establishment']"
290,Maravilla Condos,ChIJ0TRchYWcP4YRsSayVep3UR0,"9520 Seawall Blvd, Galveston","{'lat': 29.2479248, 'lng': -94.8593592}",OPERATIONAL,"['point_of_interest', 'establishment']"
291,Ocean Grove Condominiums,ChIJ3YL-XY-cP4YRFl02RLIkfrA,"9420 Seawall Blvd, Galveston","{'lat': 29.2487139, 'lng': -94.8581699}",OPERATIONAL,"['point_of_interest', 'establishment']"
292,By the Sea Condominiums,ChIJU2Ls2GmcP4YRgFjBtPbhIFk,"7310 Seawall Blvd, Galveston","{'lat': 29.2605475, 'lng': -94.8378994}",OPERATIONAL,"['point_of_interest', 'establishment']"
293,SeaScape Condos,ChIJ8yzhNp-cP4YRry-2JYcSqT8,"10811 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2420043, 'lng': -94.8713989}",OPERATIONAL,"['point_of_interest', 'establishment']"
294,Harborside Condominiums Owners,ChIJjWev0WqeP4YRUMYAIb8c-oA,"104 21st St, Galveston","{'lat': 29.3084218, 'lng': -94.79217609999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
295,Exclesior Condominiums,ChIJ8cmbhDWeP4YRGJcRcPeEAvU,"402 Postoffice St, Galveston","{'lat': 29.3102951, 'lng': -94.77202989999999}",OPERATIONAL,"['beauty_salon', 'point_of_interest', 'general_contractor', 'establishment']"
296,Emerald by the Sea Condominium,ChIJuVOiq0ueP4YRdwlSdJgfXIM,"500 Seawall Blvd, Galveston","{'lat': 29.3068899, 'lng': -94.77255099999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
297,Palisade Palms,ChIJD86kKcSfP4YRFFru1qwvMZM,"801 E Beach Dr, Galveston","{'lat': 29.3159962, 'lng': -94.75462669999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
298,Riviera Condos,ChIJ76mZPLCEP4YRP4oHIz4BMH8,"11949 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2231305, 'lng': -94.9024369}",OPERATIONAL,"['point_of_interest', 'establishment']"
299,Maravilla Seawall Condo by AB Sea,ChIJEWoUaTOdP4YRU76Ig1mq-Eo,"8610 Seawall Blvd, Galveston","{'lat': 29.2532946, 'lng': -94.85033609999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
300,Islander East Resort,ChIJBQijF8afP4YREcJ9OkI4s5U,"415 E Beach Dr, Galveston","{'lat': 29.314553, 'lng': -94.75657830000002}",OPERATIONAL,"['point_of_interest', 'establishment']"
301,The Victorian Condominiums,ChIJNclbW1SdP4YRQxY3tDMAs_I,"6300 Seawall Blvd, Galveston","{'lat': 29.2653785, 'lng': -94.83066649999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
302,Tiara on the Beach Condoiminiums,ChIJocsXdTmdP4YRH2vOxK2kF5M,"4918 Seawall Blvd Suite c, Galveston","{'lat': 29.2729846, 'lng': -94.81580199999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
303,Dawn Beach Condominiums,ChIJgZMCw0GcP4YRhGCD0Uo5hl8,"7000 Seawall Blvd, Galveston","{'lat': 29.2621927, 'lng': -94.8351965}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']"
304,VIP Condo at Galveston,ChIJT5S_9L-dP4YRnUuh925hVqI,"6300 Seawall Blvd UNIT 3210, Galveston","{'lat': 29.2651179, 'lng': -94.8295761}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
305,Mirabella,ChIJHRoWfuKdP4YRv9NShJyI7sg,"7310 Seawall Blvd APT 602, Galveston","{'lat': 29.2602726, 'lng': -94.83835069999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
306,Captains Cove Resort Condos,ChIJaaKUSk2dP4YRGlvsGRt2kno,"7600 Seawall Blvd, Galveston","{'lat': 29.2591677, 'lng': -94.84085669999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
307,West Beach Grand Condos,ChIJVRgULLCEP4YRZFBrxM5FFAE,"11945 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2237048, 'lng': -94.9017689}",OPERATIONAL,"['point_of_interest', 'establishment']"
308,Seas the Day,ChIJ8x-OcpN3QIYRW0HvPf98-2E,"26560 Baywater Dr Unit 302, Galveston","{'lat': 29.1020398, 'lng': -95.10521130000001}",OPERATIONAL,"['point_of_interest', 'establishment']"
309,Azure Dreams,ChIJJQATAlKdP4YRKxGT1jrWzX8,"10811 Termini-San Luis Pass Rd #2322, Galveston","{'lat': 29.2422439, 'lng': -94.8711848}",OPERATIONAL,"['point_of_interest', 'establishment']"
310,Port Aux Princes,ChIJ90y-fTGeP4YRveKMRx1ZCog,"7000 N Holiday Dr, Galveston","{'lat': 29.3182618, 'lng': -94.77424789999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
311,A Bird's Eye View Condo at Diamond Beach,ChIJq6r6WZmcP4YRvd_vgwOYHIQ,"10327 FM3005, Galveston","{'lat': 29.243323, 'lng': -94.8679827}",OPERATIONAL,"['point_of_interest', 'establishment']"
312,Sand Castle HOA,ChIJ17xUUWGcP4YRrUZQNu9G7sQ,"3700 83rd St, Galveston","{'lat': 29.2552591, 'lng': -94.8470759}",OPERATIONAL,"['point_of_interest', 'establishment']"
313,The Breakers of Galveston,ChIJEQoS1GecP4YRoDZ2hEkil4E,"7700 Seawall Blvd, Galveston","{'lat': 29.2582068, 'lng': -94.84200059999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
314,Juan Manuel y Francisco Del sol departamentos,ChIJa7cgvQN5P4YR7DAyu1PCcmA,Texas City,"{'lat': 29.4065461, 'lng': -94.9499373}",OPERATIONAL,"['point_of_interest', 'establishment']"
315,"league city, TX",ChIJi1BeeOh_P4YR_NuMLGDp8V8,"214 Terrace Dr, Texas City","{'lat': 29.3856334, 'lng': -94.9791047}",OPERATIONAL,"['point_of_interest', 'establishment']"
316,Villas hogar,ChIJcV35nU2fP4YREuEez3FZxss,"2711 Avenue K, Galveston","{'lat': 29.297712, 'lng': -94.7965289}",OPERATIONAL,"['point_of_interest', 'establishment']"
317,Diamond Beach,ChIJW6WxN6GcP4YR0jyHX1_B_r0,"10327 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2431841, 'lng': -94.8681636}",OPERATIONAL,"['point_of_interest', 'establishment']"
318,Mechanic Street Lofts,ChIJVd4pZ2yeP4YRjn0uimJuShE,"302 25th St unit h, Galveston","{'lat': 29.3054921, 'lng': -94.796171}",OPERATIONAL,"['point_of_interest', 'establishment']"
319,3 Palms Ocean View Condo,ChIJaVJ2yj6cP4YR1dPH_MW7oeE,"6102 Seawall Blvd, Galveston","{'lat': 29.266918, 'lng': -94.827446}",OPERATIONAL,"['travel_agency', 'lodging', 'real_estate_agency', 'point_of_interest', 'establishment']"
320,Trade Winds the Beach Club,ChIJ-Zu9KcSfP4YR4K71S_Z58vg,"801 E Beach Dr BC 0612, Galveston","{'lat': 29.3157539, 'lng': -94.75492109999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
321,Sara campbell,ChIJOU0uzR6fP4YRZRnJiISTmiM,"500 Seawall Blvd, Galveston","{'lat': 29.306037, 'lng': -94.7721924}",OPERATIONAL,"['point_of_interest', 'establishment']"
322,Stewart Beach Condos,ChIJwTt0X3KfP4YR5vWojFesv7I,"325 Church St, Galveston","{'lat': 29.3091137, 'lng': -94.7708761}",OPERATIONAL,"['point_of_interest', 'establishment']"
323,Texas Building Lofts,ChIJv2xeS2qeP4YRjQoDHBRTtWQ,"415 Kempner St, Galveston","{'lat': 29.3052165, 'lng': -94.7925611}",OPERATIONAL,"['point_of_interest', 'establishment']"
324,Doug's place,ChIJ18nzUIGfP4YR5J-UDQyRk1c,"2221 29th St, Galveston","{'lat': 29.28738169999999, 'lng': -94.79542529999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
325,Anton’s Beach Paradise,ChIJnYDKIfedP4YRjEtgfTy0JUc,"7700 Seawall Blvd, Galveston","{'lat': 29.2582523, 'lng': -94.8420582}",OPERATIONAL,"['point_of_interest', 'establishment']"
326,cool beachouse,ChIJcWqVzamfP4YRhKsX4TRs8x8,"Seawall Blvd, Galveston","{'lat': 29.2800444, 'lng': -94.8030941}",OPERATIONAL,"['point_of_interest', 'establishment']"
327,Casa Del Mar Oceanfront Deals,ChIJW0rwgrWdP4YRYNbXrCezA4M,"6102 Seawall Blvd, Galveston","{'lat': 29.266096, 'lng': -94.82700919999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
328,Pointe West Resort,ChIJn8BYT6Z3QIYRZEG3ADbzJ4o,"4161 Pointe W Dr, Galveston","{'lat': 29.1011863, 'lng': -95.09958739999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
329,The Palms Condominiums,ChIJzxCkJVGdP4YR3YxyQcmXDAc,"7312 Seawall Blvd, Galveston","{'lat': 29.2601253, 'lng': -94.8386232}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']"
330,The Dawn Oceanfront Bliss Condominium,ChIJUx2jQeudP4YR5vaPf26IkGw,"7000 Seawall Blvd APT 215, Galveston","{'lat': 29.2621609, 'lng': -94.83561960000002}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']"
331,Bay Water Condominiums,ChIJ39TTswh3QIYRHvumJJzO93k,"26619 Baywater Dr, Galveston","{'lat': 29.101205, 'lng': -95.106436}",CLOSED_TEMPORARILY,"['point_of_interest', 'establishment']"
332,The Galvestonian,ChIJI4JdosOfP4YRY8Xuq-FxvT8,"1401 E Beach Dr, Galveston","{'lat': 29.3182857, 'lng': -94.751745}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']"
333,The Naked Mermaid Condo,ChIJfTSx5AudP4YRlrQfZJ9_cmY,"7000 Seawall Blvd Unit 1134, Galveston","{'lat': 29.2621609, 'lng': -94.83561960000002}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
334,"Pirates Landing Townhouse Association, Inc.",ChIJAQDAHmqeP4YRz8FE4ubLMMU,"621 21st St, Galveston","{'lat': 29.3035413, 'lng': -94.7908109}",OPERATIONAL,"['point_of_interest', 'establishment']"
335,Chateau Lafitte Townhomes,ChIJsz458EqeP4YR4HNfERnD8Es,"711 Holiday Dr, Galveston","{'lat': 29.3078706, 'lng': -94.7716533}",OPERATIONAL,"['point_of_interest', 'establishment']"
336,Baypointe Manor Apartments,ChIJx2rkZ3V5P4YRsWL9KCSDm9w,"2701 13th Ave N, Texas City","{'lat': 29.3965673, 'lng': -94.93472779999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
337,Veranda,ChIJQ3N6ahR5P4YRzCcg3fFv1BU,"3700 9th Ave N, Texas City","{'lat': 29.39241, 'lng': -94.95376379999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
338,Terraces Apartments,ChIJNSOm9o95P4YRdwuwvYGdYPc,"2602 21st St N, Texas City","{'lat': 29.4095159, 'lng': -94.92460849999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
339,Windsor Estates Apartments,ChIJHSxGTnF-P4YRNvi-UxVwEl0,"2801 FM 2004 road, 2700 Gulf Fwy, Texas City","{'lat': 29.4099828, 'lng': -95.0314811}",OPERATIONAL,"['point_of_interest', 'establishment']"
340,Coral Manor Apartments,ChIJr3ro38R5P4YR7VSzmEIC-Fw,"729 5th Ave N, Texas City","{'lat': 29.3890037, 'lng': -94.9050365}",OPERATIONAL,"['point_of_interest', 'establishment']"
341,The Five Points at Texas Apartments,ChIJ1WRDLAZ5P4YRIHK91HVPLRs,"2902 Texas Ave, Texas City","{'lat': 29.3845618, 'lng': -94.9378997}",OPERATIONAL,"['point_of_interest', 'establishment']"
342,Palmer House Apartments,ChIJdTItLKJ5P4YRMjQWSNAEUpY,"2405 Palmer Hwy, Texas City","{'lat': 29.3941697, 'lng': -94.9295089}",OPERATIONAL,"['point_of_interest', 'establishment']"
343,Glacier Court Apartments,ChIJM1wlGvF-P4YR1aS6Jx9uUFI,"9001 Glacier Ave, Texas City","{'lat': 29.385873, 'lng': -95.0122674}",OPERATIONAL,"['point_of_interest', 'establishment']"
344,Pointe Ann Apartments,ChIJ_6fmHcJ5P4YRe3f4spIg8a0,"1225 10th St N, Texas City","{'lat': 29.3963726, 'lng': -94.909072}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
345,Del Sol Apartments,ChIJIx20g2V5P4YRO-jHaopmDPM,"3501 25th Ave N, Texas City","{'lat': 29.407339, 'lng': -94.94948629999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
346,Boterra at Lago Mar,ChIJU9I_let_P4YRAbaWJdlKxEU,"3301 Gulf Fwy, Texas City","{'lat': 29.4127931, 'lng': -95.0462702}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
347,Broadwater Apartments,ChIJ4eNrrjicP4YRJzGHpANfhjE,"6315 Central City Blvd, Galveston","{'lat': 29.2674733, 'lng': -94.83087169999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
348,Oak Village Apartments,ChIJA9sFgSx5P4YRX9yxQdT45Ts,"810 1st St, La Marque","{'lat': 29.3783004, 'lng': -94.96591579999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
349,Las Villas Apartments,ChIJUY_YS0-eP4YRzTZGec36hRg,Galveston,"{'lat': 29.3033559, 'lng': -94.77843449999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
350,The Crossings at 31st Street Apartments,ChIJo8ftrHR5P4YR-y7JULehDrg,"1320 31st St N, Texas City","{'lat': 29.3962687, 'lng': -94.94039749999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
351,Shoal Pointe Apartments,ChIJI01FRd95P4YRDzn7W17ePBg,"813 Bay St N APT 85, Texas City","{'lat': 29.3929763, 'lng': -94.8942569}",OPERATIONAL,"['point_of_interest', 'establishment']"
352,Horizon Meadows Apartments,ChIJ2wGmYL55P4YRFZUjk3RIxJ8,"1903 Main St, La Marque","{'lat': 29.3575556, 'lng': -94.9718936}",OPERATIONAL,"['point_of_interest', 'establishment']"
353,Village Manor Apartments,ChIJ6yn24QeBQIYRxT5fWLCNeoE,"4314 Avenue Q 1/2, Santa Fe","{'lat': 29.378469, 'lng': -95.10303499999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
354,Bent Oaks Apartments,ChIJp4_gLnN_P4YRwWAUqN3coqo,"7410 Hwy 6, Hitchcock","{'lat': 29.3477205, 'lng': -95.0095462}",OPERATIONAL,"['point_of_interest', 'establishment']"
355,Meadows on the Mainland Apartments,ChIJ0yrSDVN_P4YRyKFY7AzB9-M,"6601 Memorial Dr, Texas City","{'lat': 29.3911557, 'lng': -94.9856113}",OPERATIONAL,"['point_of_interest', 'establishment']"
356,Tremont Street Apartments,ChIJK6k-7WeeP4YRiY5JhovJPcs,"1417 23rd St, Galveston","{'lat': 29.296061, 'lng': -94.790744}",OPERATIONAL,"['point_of_interest', 'establishment']"
357,Catalon at Lago Mar Apartments,ChIJe-sgoQiCQIYRe2KiJm95dk8,"6130 Lago Mar Blvd, Texas City","{'lat': 29.4266309, 'lng': -95.06329079999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
358,Costa Mariposa,ChIJidMEgbh-P4YR6aR084RHEUs,"7555 Medical Center Dr, Texas City","{'lat': 29.3948169, 'lng': -94.9955372}",OPERATIONAL,"['point_of_interest', 'establishment']"
359,Bayou Gardens Apartments,ChIJTwPTmqB_P4YRt4QFpnOQi4g,"8010 Hwy 6, Hitchcock","{'lat': 29.3507552, 'lng': -95.0190008}",OPERATIONAL,"['point_of_interest', 'establishment']"
360,Parkwood Apartments,ChIJ6-S8oZ95P4YR_VHEMT79WRM,"1403 N Logan St, Texas City","{'lat': 29.3981761, 'lng': -94.9312521}",OPERATIONAL,"['point_of_interest', 'establishment']"
361,Cedar Drive Apartments,ChIJFS9SgtZ4P4YRMu1sGRG2eXM,"3978-0000-0005-001, La Marque","{'lat': 29.371515, 'lng': -94.96424209999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
362,Mariposa Apartment Homes at Bay Colony,ChIJBUVqkIJ9P4YReMgfPyJJRlU,"1101 Farm to Market 517 Rd W, Dickinson","{'lat': 29.441259, 'lng': -95.1012858}",OPERATIONAL,"['point_of_interest', 'establishment']"
363,LaMans Apartments,ChIJs8_rsKR5P4YRPZxSKPquQYQ,"2102 5th Ave N, Texas City","{'lat': 29.3893738, 'lng': -94.92535559999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
364,Gulfwind Apartments,ChIJ0wQ3ImecP4YRNgBJaMr0lUM,"8020 Stewart Rd, Galveston","{'lat': 29.258242, 'lng': -94.84571199999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
365,Enchanted Oaks Apartments,ChIJXaROtKl_P4YR5CDKwlJeI44,"5825 Delany Rd, Hitchcock","{'lat': 29.3617203, 'lng': -95.0197326}",OPERATIONAL,"['point_of_interest', 'establishment']"
366,Highland Pointe Apartments,ChIJ6Z0dv6l_P4YROAhPwWnMnow,"5809 Delany Rd, Hitchcock","{'lat': 29.3631302, 'lng': -95.01983059999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
367,Stone Ridge Apartments,ChIJlTGfpxV5P4YR2ezb1I6r1h8,"1115 N Hwy 146, Texas City","{'lat': 29.3936319, 'lng': -94.95356439999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
368,71st Apartment,ChIJVVVVVUmcP4YRUV6_uvRLGlA,"1900 Biovu Dr, Galveston","{'lat': 29.2784907, 'lng': -94.8364665}",OPERATIONAL,"['point_of_interest', 'establishment']"
369,Trinity Oaks Apartment Homes,ChIJIZ5f2wx_P4YRhkrWPH5EZ5c,"7440 Hwy 6, Hitchcock","{'lat': 29.3474351, 'lng': -95.0111701}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
370,Morning Star Villas,ChIJaWIdkGx5P4YRbLWQs4E3LOY,"3505 Magnolia Ave., Texas City","{'lat': 29.3980025, 'lng': -94.9499888}",OPERATIONAL,"['point_of_interest', 'establishment']"
371,Driftwood Apartments,ChIJ8aLBh0GcP4YR-9yYNoG6Ew8,"7019 Lasker Dr, Galveston","{'lat': 29.2629887, 'lng': -94.8360101}",OPERATIONAL,"['point_of_interest', 'establishment']"
