,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
0,Hilo International Airport,ChIJA_6Mr3hMUnkRf2xxZUX-my4,"2450 Kekuanaoa Street, Hilo","{'lat': 19.7188342, 'lng': -155.0416866}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.4,819.0,,,,,,,,airport,Hilo International Airport,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
1,Blue Hawaiian Helicopters,ChIJqx06aMK0U3kR6i4j-j9NX34,United States,"{'lat': 19.7150176, 'lng': -155.0434895}",OPERATIONAL,"['airport', 'travel_agency', 'tourist_attraction', 'point_of_interest', 'establishment']",,,,,4.4,320.0,,,,,,,,airport,Blue Hawaiian Helicopters,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20097:00\u202fPM']"
2,Hilo Medical Center Heliport,ChIJeQfmUem0U3kR8UKXpxmqQfY,"1190 Waianuenue Avenue, Hilo","{'lat': 19.7184778, 'lng': -155.1143653}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.5,28.0,,,,,,,,airport,Hilo Medical Center Heliport,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
3,ヒロ国際空港,ChIJnTPqSw9NUnkRfbssL0BYEho,Hilo,"{'lat': 19.7214152, 'lng': -155.0417123}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,airport,ヒロ国際空港,,
4,Hilo Medical Center,ChIJ6VYwrKS0U3kR9caoLq5TmrM,"1190 Waianuenue Avenue, Hilo","{'lat': 19.7182136, 'lng': -155.11293}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,3.3,127.0,,,,,,,,hospital,Hilo Medical Center,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
5,Straub Medical Center - Hilo Clinic,ChIJq8gDaK20U3kRmgmmNJcMFOY,"75 Puuhonu Place, Hilo","{'lat': 19.7158175, 'lng': -155.0965672}",OPERATIONAL,"['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,doctor,Straub Medical Center - Hilo Clinic,,
6,Hilo Vet Center,ChIJJ5YllERLUnkRJkBg8pWD_AU,"70 Lanihuli Street, Hilo","{'lat': 19.71148489999999, 'lng': -155.0791473}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,4.5,12.0,,,,,,,,hospital,Hilo Vet Center,,
7,Yukio Okutsu Veterans State Home,ChIJO6Uw36-0U3kRsbwJxd1khm4,"1180 Waianuenue Avenue, Hilo","{'lat': 19.7183653, 'lng': -155.111971}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,4.6,34.0,,,,,,,,hospital,Yukio Okutsu Veterans State Home,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
8,VA Primary Care Clinic,ChIJAW7WXru0U3kRCzKKhYpa2Rs,"Kaumana Springs Wilderness, 1285 Waianuenue Avenue # 211, Hilo","{'lat': 19.7169153, 'lng': -155.1133522}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,2.6,8.0,,,,,,,,hospital,VA Primary Care Clinic,,
9,Ululani Medical Center,ChIJ8751VIJLUnkRsAmQTRG8rcM,"868 Ululani Street, Hilo","{'lat': 19.7166553, 'lng': -155.0858126}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,hospital,Ululani Medical Center,,
10,KA WAENA LAPA'AU,ChIJ-z-Bx7K0U3kRRWmvYlstkEY,"670 Ponahawai Street, Hilo","{'lat': 19.7142178, 'lng': -155.0966888}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,hospital,KA WAENA LAPA'AU,,
11,Women’s Health Specialists,ChIJD3EPPOy1U3kRAx8JygTC44U,"Punahele Professional Building, 82 Puuhonu Place STE 205, Hilo","{'lat': 19.7170747, 'lng': -155.0981942}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,3.5,2.0,,,,,,,,hospital,Women’s Health Specialists,,
12,Neurology Clinic,ChIJURK0n1e1U3kRF8iwW1C14Es,"1190 Waianuenue Avenue, Hilo","{'lat': 19.7178414, 'lng': -155.1128377}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,hospital,Neurology Clinic,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
13,RYAN M MCKENZIE,ChIJq6pqsqS0U3kRWVj_gVbcDPU,"1190 Waianuenue Avenue, Hilo","{'lat': 19.7182454, 'lng': -155.1127462}",OPERATIONAL,"['doctor', 'hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,doctor,RYAN M MCKENZIE,,
14,Hilo Bay Medical Clinic,ChIJrTp2fDFNUnkR2xh-okQuN4g,"24 Pukihae Street, Hilo","{'lat': 19.7301366, 'lng': -155.0879458}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,hospital,Hilo Bay Medical Clinic,,
15,Traditional Chinese Medical Clge,ChIJ0wV865tMUnkRSEp04tey_2U,"93 Banyan Drive, Hilo","{'lat': 19.7296375, 'lng': -155.0649243}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,hospital,Traditional Chinese Medical Clge,,
16,Urgent Care,ChIJqZ8iz4Q1UnkR0epCtoYr2j8,"16-612 Old Volcano Road, Keaau","{'lat': 19.6200001, 'lng': -155.0422115}",OPERATIONAL,"['hospital', 'health', 'point_of_interest', 'establishment']",,,,,3.7,3.0,,,,,,,,hospital,Urgent Care,,
17,Longs Drugs,ChIJe_fLwBJLUnkRBKBCdStVahs,"111 Puainako Street, Hilo","{'lat': 19.697369, 'lng': -155.0633309}",OPERATIONAL,"['drugstore', 'liquor_store', 'convenience_store', 'clothing_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",,,,,3.3,30.0,,,,,,,,drugstore,Longs Drugs,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 5, 'time': '0000'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u200912:00\u202fAM']"
18,Safeway Liquor,ChIJvbVgXW1LUnkRoGNyPH6iJWw,Hilo,"{'lat': 19.7006131, 'lng': -155.0608225}",OPERATIONAL,"['liquor_store', 'store', 'point_of_interest', 'establishment']",,,,2.0,4.4,5.0,,,,,,,,liquor_store,Safeway Liquor,,
19,Kadota Liquor,ChIJMdNVYVpLUnkReJkoqN3kyWE,"194 Hualalai Street, Hilo","{'lat': 19.7168287, 'lng': -155.0830818}",OPERATIONAL,"['liquor_store', 'store', 'point_of_interest', 'establishment']",,,,,4.6,319.0,,,,,,,,liquor_store,Kadota Liquor,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20099:00\u202fPM']"
20,Foodland Kea`au,ChIJ835fRIQ1UnkRtwsKqtJTWQw,"16-586 Old Volcano Road #102, Keaau","{'lat': 19.6218862, 'lng': -155.0409647}",OPERATIONAL,"['grocery_or_supermarket', 'liquor_store', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",,,,,4.3,976.0,,,,,,,,grocery_or_supermarket,Foodland Kea`au,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0600'}}]","['Monday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20099:00\u202fPM']"
21,Ola Brew - Hilo,ChIJU12r4BtLUnkRw1JW9lZnXPE,"1177 Kilauea Avenue, Hilo","{'lat': 19.71167939999999, 'lng': -155.076727}",OPERATIONAL,"['liquor_store', 'bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.5,581.0,,,,,,,,liquor_store,Ola Brew - Hilo,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '1130'}}]","['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20098:00\u202fPM']"
22,Hilo Bottle Shop,ChIJj8WqXnVLUnkR0PaKm3yyZQ0,"340 Kilauea Avenue, Hilo","{'lat': 19.7206349, 'lng': -155.0836909}",OPERATIONAL,"['liquor_store', 'store', 'food', 'point_of_interest', 'establishment']",,,,,5.0,52.0,,,,,,,,liquor_store,Hilo Bottle Shop,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1130'}}]","['Monday: 11:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: Closed']"
23,Keaukaha General Store,ChIJB12Cn4ZMUnkR9Nu3303DLys,"11 Silva Street, Hilo","{'lat': 19.727332, 'lng': -155.054004}",OPERATIONAL,"['convenience_store', 'liquor_store', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']",,,,,4.7,37.0,,,,,,,,convenience_store,Keaukaha General Store,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0630'}}]","['Monday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20095:00\u202fPM']"
24,Longs Drugs,ChIJuWo1JDQ1UnkR_ztsZEgAXfc,"16-529 Keaau-Pahoa Road, Keaau","{'lat': 19.622927, 'lng': -155.0393881}",OPERATIONAL,"['drugstore', 'liquor_store', 'convenience_store', 'clothing_store', 'health', 'store', 'food', 'point_of_interest', 'establishment']",,,,,3.7,41.0,,,,,,,,drugstore,Longs Drugs,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u200911:00\u202fPM']"
25,Francis Wong Stadium,ChIJaXuYzmBLUnkRo19iyTpbaj0,"Hoolulu Park, 323 Manono Street, Hilo","{'lat': 19.7181057, 'lng': -155.0677808}",OPERATIONAL,"['stadium', 'point_of_interest', 'establishment']",,,,,4.2,36.0,,,,,,,,stadium,Francis Wong Stadium,,
26,UHH Softball Field,ChIJb9p9A-1LUnkR2WvBj4vwupg,"430 West Kawili Street, Hilo","{'lat': 19.6955039, 'lng': -155.0824661}",CLOSED_TEMPORARILY,"['stadium', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,stadium,UHH Softball Field,,
27,Ken Yamase Memorial Stadium,ChIJb-E15HtLUnkRlvEYRhOKIZI,"MWXG+94, Hilo","{'lat': 19.6984375, 'lng': -155.0746875}",OPERATIONAL,"['stadium', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,stadium,Ken Yamase Memorial Stadium,,
28,Edith Kanakaole Multi-Purpose Stadium,ChIJBS0fWmFLUnkROvoIEbaoFCw,"350 Kalanikoa Street, Hilo","{'lat': 19.7175786, 'lng': -155.0661216}",OPERATIONAL,"['stadium', 'gym', 'health', 'point_of_interest', 'establishment']",,,,,4.5,40.0,,,,,,,,stadium,Edith Kanakaole Multi-Purpose Stadium,"[{'close': {'day': 1, 'time': '1515'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '1515'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '1515'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '1515'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '1515'}, 'open': {'day': 5, 'time': '0630'}}]","['Monday: 6:30\u202fAM\u2009–\u20093:15\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20093:15\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20093:15\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20093:15\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20093:15\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
29,Walter Victor C K Baseball Complex,ChIJeQrPqmFLUnkRY-1w_joY-Ow,Hilo,"{'lat': 19.7201468, 'lng': -155.0687079}",,"['stadium', 'premise', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,stadium,Walter Victor C K Baseball Complex,,
30,University of Hawaiʻi at Hilo,ChIJtXNoWjhLUnkRIzppYurNPPU,"200 West Kawili Street, Hilo","{'lat': 19.6999095, 'lng': -155.0853594}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.2,48.0,,,,,,,,university,University of Hawaiʻi at Hilo,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
31,Hawaiʻi Community College,ChIJh8OZXTpLUnkRPLyeACJhgrk,"1175 Manono Street, Hilo","{'lat': 19.7050194, 'lng': -155.0699525}",OPERATIONAL,"['school', 'university', 'point_of_interest', 'establishment']",,,,,4.3,25.0,,,,,,,,school,Hawaiʻi Community College,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
32,Institute For Astronomy,ChIJARW3_zVLUnkR6kIue0QZG0U,"640 North Aohoku Place #209, Hilo","{'lat': 19.7035407, 'lng': -155.0900986}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,university,Institute For Astronomy,,
33,Hale Kehau,ChIJcSIJDjhLUnkR9dSOvRDbE2o,"603 West Lanikaula Street, Hilo","{'lat': 19.7017484, 'lng': -155.0827532}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.4,8.0,,,,,,,,university,Hale Kehau,,
34,UH Hilo Conference Center,ChIJTRWIzGtLUnkRL890rbA0Msk,"PB-8, 200 West Kawili Street, Hilo","{'lat': 19.70184609999999, 'lng': -155.0791607}",CLOSED_TEMPORARILY,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,UH Hilo Conference Center,,
35,Hawaiian EDventure,ChIJFRPTvDhLUnkReQLhKGW81Jw,"200 West Kawili Street, Hilo","{'lat': 19.7012676, 'lng': -155.0792472}",OPERATIONAL,"['travel_agency', 'university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,travel_agency,Hawaiian EDventure,"[{'close': {'day': 1, 'time': '1630'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1630'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1630'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
36,Healing Oasis,ChIJv9RvlFVLUnkRLf0bOG_ux2k,"351 Wailuku Drive, Hilo","{'lat': 19.7248628, 'lng': -155.0915752}",OPERATIONAL,"['university', 'store', 'health', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,university,Healing Oasis,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
37,Agricultural Research Stations,ChIJ73y48JVKUnkRYMqVsclnwk4,"924 Stainback Highway, Hilo","{'lat': 19.6336145, 'lng': -155.0891018}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,1.0,1.0,,,,,,,,university,Agricultural Research Stations,,
38,Intensive English Program,ChIJdQVCW2pLUnkR_UJ0K3Np8bI,"1175 Manono Street, Hilo","{'lat': 19.70399919999999, 'lng': -155.0701242}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Intensive English Program,,
39,4-H Youth Development Program,ChIJT-p_0jNLUnkR6pz-E1j8ACU,"875 Komohana Street, Hilo","{'lat': 19.6962318, 'lng': -155.0899181}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,4-H Youth Development Program,,
40,College of Agri Forestry,ChIJh8OZXTpLUnkR0I8JjdivsiQ,"200 West Kawili Street, Hilo","{'lat': 19.699998, 'lng': -155.0822389}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,College of Agri Forestry,,
